player_id,Name,Sex,Team,NOC,Year,Season,City,Sport,Event,Medal
234486,Henryk Szordykowski,M,Poland,POL,1968,Summer,Mexico City,Athletics,Athletics Men's 800 metres,No medal
234487,Henryk Szordykowski,M,Poland,POL,1968,Summer,Mexico City,Athletics,"Athletics Men's 1,500 metres",No medal
234488,Henryk Szordykowski,M,Poland,POL,1972,Summer,Munich,Athletics,"Athletics Men's 1,500 metres",No medal
234489,dm Szrnyi,M,Hungary,HUN,2000,Summer,Sydney,Sailing,Sailing Men's Two Person Dinghy,No medal
234490,Kazimierz Szosland,M,Poland,POL,1924,Summer,Paris,Equestrianism,"Equestrianism Men's Jumping, Individual",No medal
234491,Kazimierz Szosland,M,Poland,POL,1924,Summer,Paris,Equestrianism,"Equestrianism Men's Jumping, Team",No medal
234492,Kazimierz Szosland,M,Poland,POL,1924,Summer,Paris,Equestrianism,"Equestrianism Men's Three-Day Event, Individual",No medal
234493,Kazimierz Szosland,M,Poland,POL,1924,Summer,Paris,Equestrianism,"Equestrianism Men's Three-Day Event, Team",No medal
234494,Kazimierz Szosland,M,Poland,POL,1928,Summer,Amsterdam,Equestrianism,"Equestrianism Men's Jumping, Individual",No medal
234495,Kazimierz Szosland,M,Poland,POL,1928,Summer,Amsterdam,Equestrianism,"Equestrianism Men's Jumping, Team",Silver
234496,Jadwiga Szosler-wilejto,F,Poland,POL,1972,Summer,Munich,Archery,Archery Women's Individual,No medal
234497,Jadwiga Szosler-wilejto,F,Poland,POL,1976,Summer,Montreal,Archery,Archery Women's Individual,No medal
234498,Jadwiga Szosler-wilejto,F,Poland,POL,1980,Summer,Moskva,Archery,Archery Women's Individual,No medal
234499,Henryk Szost,M,Poland,POL,2008,Summer,Beijing,Athletics,Athletics Men's Marathon,No medal
234500,Henryk Szost,M,Poland,POL,2012,Summer,London,Athletics,Athletics Men's Marathon,No medal
234501,Henryk Szost,M,Poland,POL,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's Marathon,No medal
234502,Edward Szostak,M,Poland,POL,1936,Summer,Berlin,Basketball,Basketball Men's Basketball,No medal
234503,Joseph Szostak,M,France,FRA,1968,Summer,Mexico City,Rowing,Rowing Men's Coxed Pairs,No medal
234504,Stanisaw Szostecki,M,Poland,POL,1992,Summer,Barcelona,Wrestling,"Wrestling Men's Light-Flyweight, Freestyle",No medal
234505,Andrs Szoszky,M,Hungary,HUN,1912,Summer,Stockholm,Wrestling,"Wrestling Men's Featherweight, Greco-Roman",No medal
234506,Katarzyna (-deberny),F,Poland,POL,2008,Summer,Beijing,Sailing,Sailing Women's One Person Dinghy,No medal
234507,Stanisaw Szozda,M,Poland,POL,1972,Summer,Munich,Cycling,"Cycling Men's Road Race, Individual",No medal
234508,Stanisaw Szozda,M,Poland,POL,1972,Summer,Munich,Cycling,Cycling Men's 100 kilometres Team Time Trial,Silver
234509,Stanisaw Szozda,M,Poland,POL,1976,Summer,Montreal,Cycling,"Cycling Men's Road Race, Individual",No medal
234510,Stanisaw Szozda,M,Poland,POL,1976,Summer,Montreal,Cycling,Cycling Men's 100 kilometres Team Time Trial,Silver
234511,Zygfryd Szotysik,M,Poland,POL,1972,Summer,Munich,Football,Football Men's Football,Gold
234512,Micha Szpakowski,M,Poland,POL,2012,Summer,London,Rowing,Rowing Men's Coxed Eights,No medal
234513,Micha Szpakowski,M,Poland,POL,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxed Eights,No medal
234514,Ryszard Szparak,M,Poland,POL,1980,Summer,Moskva,Athletics,Athletics Men's 400 metres Hurdles,No medal
234515,Sawomira Szpek,F,Poland,POL,2008,Summer,Beijing,Shooting,"Shooting Women's Air Pistol, 10 metres",No medal
234516,Sawomira Szpek,F,Poland,POL,2008,Summer,Beijing,Shooting,"Shooting Women's Sporting Pistol, 25 metres",No medal
234519,Lejzor Szrajbman,M,Poland,POL,1936,Summer,Berlin,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,No medal
234520,Krzysztof Szramiak,M,Poland,POL,2004,Summer,Athina,Weightlifting,Weightlifting Men's Middleweight,No medal
234521,Krzysztof Szramiak,M,Poland,POL,2008,Summer,Beijing,Weightlifting,Weightlifting Men's Middleweight,No medal
234522,Krisztina Szremk,F,Hungary,HUN,2004,Summer,Athina,Water Polo,Water Polo Women's Water Polo,No medal
234523,Krisztina Szremk,F,Hungary,HUN,2008,Summer,Beijing,Water Polo,Water Polo Women's Water Polo,No medal
234524,Srgio Sztancsa,M,Brazil,BRA,1976,Summer,Montreal,Rowing,Rowing Men's Double Sculls,No medal
234525,Zoltn Sztanity,M,Hungary,HUN,1976,Summer,Montreal,Canoeing,"Canoeing Men's Kayak Singles, 500 metres",Silver
234526,Zoltn Sztanity,M,Hungary,HUN,1980,Summer,Moskva,Canoeing,"Canoeing Men's Kayak Singles, 500 metres",No medal
234527,Zoltn Sztanity,M,Hungary,HUN,1980,Summer,Moskva,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",No medal
234528,Anna Sztankovics,F,Hungary,HUN,2012,Summer,London,Swimming,Swimming Women's 100 metres Breaststroke,No medal
234529,Anna Sztankovics,F,Hungary,HUN,2012,Summer,London,Swimming,Swimming Women's 200 metres Breaststroke,No medal
234530,Anna Sztankovics,F,Hungary,HUN,2012,Summer,London,Swimming,Swimming Women's 4 x 100 metres Medley Relay,No medal
234531,Anna Sztankovics,F,Hungary,HUN,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 100 metres Breaststroke,No medal
234532,Anna Sztankovics,F,Hungary,HUN,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 200 metres Breaststroke,No medal
234533,Gyrgy Sztantics,M,Hungary,HUN,1906,Summer,Athina,Athletics,"Athletics Men's 1,500 metres Walk",No medal
234534,Gyrgy Sztantics,M,Hungary,HUN,1906,Summer,Athina,Athletics,"Athletics Men's 3,000 metres Walk",Gold
234535,Zoltn Sztrcsevics,M,Hungary,HUN,1980,Summer,Moskva,Rowing,Rowing Men's Coxed Eights,No medal
234536,Zoltan Sztehlo,M,Canada,CAN,1968,Summer,Mexico City,Equestrianism,"Equestrianism Mixed Dressage, Individual",No medal
234537,Zoltan Sztehlo,M,Canada,CAN,1968,Summer,Mexico City,Equestrianism,"Equestrianism Mixed Dressage, Team",No medal
234541,Abelardo Sztrum,M,Argentina,ARG,1996,Summer,Atlanta,Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres",No medal
234542,Abelardo Sztrum,M,Argentina,ARG,1996,Summer,Atlanta,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",No medal
234543,Abelardo Sztrum,M,Argentina,ARG,2000,Summer,Sydney,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",No medal
234544,Federico Sztyrle,M,Argentina,ARG,2004,Summer,Athina,Equestrianism,"Equestrianism Mixed Jumping, Individual",No medal
234545,Federico Sztyrle,M,Argentina,ARG,2004,Summer,Athina,Equestrianism,"Equestrianism Mixed Jumping, Team",No medal
234546,Sebastian Szubski,M,Brazil,BRA,2004,Summer,Athina,Canoeing,"Canoeing Men's Kayak Doubles, 500 metres",No medal
234547,Zdzisaw Szubski,M,Poland,POL,1980,Summer,Moskva,Canoeing,"Canoeing Men's Kayak Doubles, 500 metres",No medal
234548,Agnieszka Szuchnicka,F,Poland,POL,1992,Summer,Barcelona,Fencing,"Fencing Women's Foil, Team",No medal
234549,Katalin Szuchy,F,Hungary,HUN,1980,Summer,Moskva,Basketball,Basketball Women's Basketball,No medal
234550,Csaba Szcs,M,Hungary,HUN,1992,Summer,Barcelona,Athletics,Athletics Men's Marathon,No medal
234551,Gbor Szcs,M,Hungary,HUN,1976,Summer,Montreal,Cycling,"Cycling Men's Individual Pursuit, 4,000 metres",No medal
234552,Gbor Szcs,M,Hungary,HUN,1980,Summer,Moskva,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",No medal
234553,Gabriella Szcs,F,Hungary,HUN,2012,Summer,London,Water Polo,Water Polo Women's Water Polo,No medal
234554,Gabriella Szcs,F,Hungary,HUN,2016,Summer,Rio de Janeiro,Water Polo,Water Polo Women's Water Polo,No medal
234555,Gabriella Szcs,F,Hungary,HUN,2008,Summer,Beijing,Handball,Handball Women's Handball,No medal
234556,Gabriella Szcs,F,Romania,ROU,2016,Summer,Rio de Janeiro,Handball,Handball Women's Handball,No medal
234557,Lajos Szcs,M,Hungary,HUN,1972,Summer,Munich,Weightlifting,Weightlifting Men's Flyweight,Silver
234558,Lajos Szcs,M,Hungary,HUN,1976,Summer,Montreal,Weightlifting,Weightlifting Men's Flyweight,No medal
234559,Lajos Szcs,M,Hungary,HUN,1968,Summer,Mexico City,Football,Football Men's Football,Gold
234560,Lajos Szcs,M,Hungary,HUN,1972,Summer,Munich,Football,Football Men's Football,Silver
234561,Lszl Szcs,M,Hungary,HUN,1992,Summer,Barcelona,Boxing,Boxing Men's Light-Welterweight,No medal
234562,Pl Szcs,M,Hungary,HUN,1932,Summer,Los Angeles,Art Competitions,"Art Competitions Mixed Painting, Unknown Event",No medal
234563,Tams Szcs,M,Hungary,HUN,2004,Summer,Athina,Swimming,Swimming Men's 200 metres Freestyle,No medal
234564,Tams Szcs,M,Hungary,HUN,2004,Summer,Athina,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,No medal
234565,Vilmos Szcs,M,Hungary,HUN,1906,Summer,Athina,Gymnastics,Gymnastics Men's Individual All-Around,No medal
234566,Vilmos Szcs,M,Hungary,HUN,1906,Summer,Athina,Gymnastics,"Gymnastics Men's Individual All-Around, 5 Events",No medal
234567,Vilmos Szcs,M,Hungary,HUN,1906,Summer,Athina,Gymnastics,Gymnastics Men's Team All-Around,No medal
234568,Vilmos Szcs,M,Hungary,HUN,1906,Summer,Athina,Gymnastics,Gymnastics Men's Rope Climbing,No medal
234569,Vilmos Szcs,M,Hungary,HUN,1908,Summer,London,Gymnastics,Gymnastics Men's Individual All-Around,No medal
234570,Rafa Szukaa,M,Poland,POL,1988,Summer,Seoul,Swimming,Swimming Men's 100 metres Butterfly,No medal
234571,Rafa Szukaa,M,Poland,POL,1988,Summer,Seoul,Swimming,Swimming Men's 200 metres Butterfly,No medal
234572,Rafa Szukaa,M,Poland,POL,1992,Summer,Barcelona,Swimming,Swimming Men's 100 metres Butterfly,Silver
234573,Rafa Szukaa,M,Poland,POL,1992,Summer,Barcelona,Swimming,Swimming Men's 200 metres Butterfly,No medal
234574,Rafa Szukaa,M,Poland,POL,1996,Summer,Atlanta,Swimming,Swimming Men's 100 metres Butterfly,No medal
234575,Rafa Szukaa,M,Poland,POL,1996,Summer,Atlanta,Swimming,Swimming Men's 4 x 100 metres Medley Relay,No medal
234576,Rafa Szukiel,M,Poland,POL,2008,Summer,Beijing,Sailing,Sailing Mixed One Person Dinghy,No medal
