esporte,medalha,total
Judô,Bronze,20
Natação,Bronze,11
Atletismo,Bronze,11
Vela,Ouro,8
Vela,Bronze,8
Vôlei de Praia,Prata,7
Futebol,Prata,6
Boxe,Bronze,5
Judô,Ouro,5
Atletismo,Ouro,5
Vôlei,Ouro,5
Vôlei de Praia,Ouro,4
Atletismo,Prata,4
Natação,Prata,4
Judô,Prata,4
Vôlei,Prata,4
Basquete,Bronze,4
Skate,Prata,3
Vela,Prata,3
Vôlei,Bronze,3
Vôlei de Praia,Bronze,3
ARTISTIC GYMNASTICS,Prata,3
Taekwondo,Bronze,3
Futebol,Ouro,2
Tiro,Prata,2
CANOEING,Prata,2
Skate,Bronze,2
Boxe,Prata,2
Futebol,Bronze,2
EQUESTRIANISM,Bronze,2
Boxe,Ouro,2
GYMNASTICS,Prata,2
ARTISTIC GYMNASTICS,Ouro,2
Tiro,Ouro,1
CANOEING,Bronze,1
ARTISTIC GYMNASTICS,Bronze,1
Basquete,Prata,1
EQUESTRIANISM,Ouro,1
GYMNASTICS,Ouro,1
Tiro,Bronze,1
Pentatlo Moderno,Bronze,1
Surfe,Bronze,1
CANOE SPRINT,Prata,1
CANOE SPRINT,Ouro,1
MARATHON SWIMMING,Ouro,1
Natação,Ouro,1
GYMNASTICS,Bronze,1
Surfe,Ouro,1
Tênis,Bronze,1
