atleta_nome,genero,year,pais,noc,temporada,cidade,esporte,evento,medalha
Zygfryd Szotysik,Masculino,1972,Poland,POL,Summer,Munich,FOOTBALL,Football Men's Football,Ouro
Eulalia (-caban),Feminino,1952,Poland,POL,Summer,Helsinki,ATHLETICS,Athletics Women's 200 metres,Nenhuma Medalha
Tai Tzu-ying,Feminino,2016,Chinese Taipei,TPE,Summer,Rio de Janeiro,BADMINTON,Badminton Women's Singles,Nenhuma Medalha
Shinji Takahira,Masculino,2004,Japan,JPN,Summer,Athina,ATHLETICS,Athletics Men's 200 metres,Nenhuma Medalha
Toshinari Takaoka,Masculino,2000,Japan,JPN,Summer,Sydney,ATHLETICS,"Athletics Men's 10,000 metres",Nenhuma Medalha
Naohisa Takato,Masculino,2016,Japan,JPN,Summer,Rio de Janeiro,JUDO,Judo Men's Extra-Lightweight,Bronze
Masao Takemoto,Masculino,1952,Japan,JPN,Summer,Helsinki,GYMNASTICS,Gymnastics Men's Rings,Nenhuma Medalha
Kensuke Takezawa,Masculino,2008,Japan,JPN,Summer,Beijing,ATHLETICS,"Athletics Men's 10,000 metres",Nenhuma Medalha
Riardas Tamulis,Masculino,1964,Soviet Union,URS,Summer,Tokyo,BOXING,Boxing Men's Welterweight,Prata
Tan Zongliang,Masculino,2000,China,CHN,Summer,Sydney,SHOOTING,"Shooting Men's Air Pistol, 10 metres",Nenhuma Medalha
Bahri Tanrkulu,Masculino,2012,Turkey,TUR,Summer,London,TAEKWONDO,Taekwondo Men's Heavyweight,Nenhuma Medalha
Jevon Tarantino,Masculino,2008,United States,USA,Summer,Beijing,DIVING,Diving Men's Synchronized Springboard,Nenhuma Medalha
Grigory Tarasevich,Masculino,2016,Russia,RUS,Summer,Rio de Janeiro,SWIMMING,Swimming Men's 4 x 100 metres Medley Relay,Nenhuma Medalha
Miranda Tatari,Feminino,2012,Croatia,CRO,Summer,London,HANDBALL,Handball Women's Handball,Nenhuma Medalha
Frank Taubert,Masculino,1976,East Germany,GDR,Summer,Montreal,DIVING,Diving Men's Springboard,Nenhuma Medalha
Norman Taylor,Masculino,1924,Canada,CAN,Summer,Paris,ROWING,Rowing Men's Coxed Eights,Prata
Peter Taylor,Masculino,2016,New Zealand,NZL,Summer,Rio de Janeiro,ROWING,Rowing Men's Lightweight Coxless Fours,Nenhuma Medalha
Gerardus Tebroke,Masculino,1980,Netherlands,NED,Summer,Moskva,ATHLETICS,"Athletics Men's 10,000 metres",Nenhuma Medalha
Ken Terauchi,Masculino,1996,Japan,JPN,Summer,Atlanta,DIVING,Diving Men's Platform,Nenhuma Medalha
Esperanza Rolando,Feminino,1992,Spain,ESP,Summer,Barcelona,HANDBALL,Handball Women's Handball,Nenhuma Medalha
Theodorus Terlingen,Masculino,1964,Netherlands,NED,Summer,Tokyo,HOCKEY,Hockey Men's Hockey,Nenhuma Medalha
Niki Terpstra,Masculino,2008,Netherlands,NED,Summer,Beijing,CYCLING,"Cycling Men's Road Race, Individual",Nenhuma Medalha
Mesfen Tesfaye,Masculino,1956,Ethiopia,ETH,Summer,Melbourne,CYCLING,"Cycling Men's Road Race, Individual",Nenhuma Medalha
Thein Myint,Masculino,1960,Myanmar,MYA,Summer,Roma,BOXING,Boxing Men's Bantamweight,Nenhuma Medalha
Masempe Theko,Feminino,2012,Lesotho,LES,Summer,London,SWIMMING,Swimming Women's 50 metres Freestyle,Nenhuma Medalha
John Thomas,Masculino,1960,United States,USA,Summer,Roma,ATHLETICS,Athletics Men's High Jump,Bronze
Georg Thomas,Masculino,1936,Germany,GER,Summer,Berlin,ART COMPETITIONS,"Art Competitions Mixed Music, Compositions For Solo Or Chorus",Prata
Graham Thompson,Masculino,1988,Zimbabwe,ZIM,Summer,Seoul,SWIMMING,Swimming Men's 50 metres Freestyle,Nenhuma Medalha
Marc Thompson,Masculino,1976,United States,USA,Summer,Montreal,CYCLING,Cycling Men's 100 kilometres Team Time Trial,Nenhuma Medalha
Rachel Thompson,Feminino,1988,Sierra Leone,SLE,Summer,Seoul,ATHLETICS,"Athletics Women's 1,500 metres",Nenhuma Medalha
Rolf Thorsen,Masculino,1992,Norway,NOR,Summer,Barcelona,ROWING,Rowing Men's Quadruple Sculls,Prata
Rolf Thorstvedt,Masculino,1920,Norway,NOR,Summer,Antwerpen,FOOTBALL,Football Men's Football,Nenhuma Medalha
Amde Thub,Masculino,1912,Mac Miche,FRA,Summer,Stockholm,SAILING,Sailing Mixed 6 metres,Ouro
Hilmar Orbjrnsson,Masculino,1956,Iceland,ISL,Summer,Melbourne,ATHLETICS,Athletics Men's 100 metres,Nenhuma Medalha
Manfred Tiedtke,Masculino,1968,East Germany,GDR,Summer,Mexico City,ATHLETICS,Athletics Men's Decathlon,Nenhuma Medalha
Imre Tiidemann,Masculino,1996,Estonia,EST,Summer,Atlanta,MODERN PENTATHLON,Modern Pentathlon Men's Individual,Nenhuma Medalha
Tatyana Titova,Feminino,1988,Soviet Union,URS,Summer,Seoul,SYNCHRONIZED SWIMMING,Synchronized Swimming Women's Solo,Nenhuma Medalha
Mihai Iu,Masculino,1976,Romania,ROU,Summer,Montreal,FENCING,"Fencing Men's Foil, Team",Nenhuma Medalha
Todor Todorov,Masculino,1952,Bulgaria,BUL,Summer,Helsinki,GYMNASTICS,Gymnastics Men's Rings,Nenhuma Medalha
Pavel Tonkov,Masculino,2000,Russia,RUS,Summer,Sydney,CYCLING,"Cycling Men's Road Race, Individual",Nenhuma Medalha
Hjrdis Tpel,Feminino,1928,Sweden,SWE,Summer,Amsterdam,DIVING,Diving Women's Platform,Nenhuma Medalha
Tassos Topsidellis,Masculino,1906,Greece,GRE,Summer,Athina,ATHLETICS,Athletics Men's Marathon,Nenhuma Medalha
Jane Trnqvist,Feminino,2004,Sweden,SWE,Summer,Athina,FOOTBALL,Football Women's Football,Nenhuma Medalha
Juan Daz,Masculino,1984,Spain,ESP,Summer,Los Angeles,ATHLETICS,"Athletics Men's 3,000 metres Steeplechase",Nenhuma Medalha
Lajos Tth,Masculino,1948,Hungary,HUN,Summer,London,GYMNASTICS,Gymnastics Men's Pommelled Horse,Nenhuma Medalha
Kiichiro Toyama,Masculino,1936,Japan,JPN,Summer,Berlin,GYMNASTICS,Gymnastics Men's Team All-Around,Nenhuma Medalha
Samachai Trangjaroenngarm,Masculino,1976,Thailand,THA,Summer,Montreal,FENCING,"Fencing Men's epee, Team",Nenhuma Medalha
Petar Trbojevi,Masculino,2004,Serbia and Montenegro,SCG,Summer,Athina,WATER POLO,Water Polo Men's Water Polo,Prata
Alyxandria Treasure,Feminino,2016,Canada,CAN,Summer,Rio de Janeiro,ATHLETICS,Athletics Women's High Jump,Nenhuma Medalha
Matthias Triantafyllidis,Masculino,1906,Greece,GRE,Summer,Athina,SHOOTING,"Shooting Men's Military Revolver, 1873-1874 Gras Model, 20 metres",Nenhuma Medalha
Josef Trousil,Masculino,1960,Czechoslovakia,TCH,Summer,Roma,ATHLETICS,Athletics Men's 4 x 400 metres Relay,Nenhuma Medalha
Tu Chih-chen,Masculino,1984,Chinese Taipei,TPE,Summer,Los Angeles,ARCHERY,Archery Men's Individual,Nenhuma Medalha
Aleksandr Tuchkin,Masculino,1988,Soviet Union,URS,Summer,Seoul,HANDBALL,Handball Men's Handball,Ouro
Daulet Turlykhanov,Masculino,1988,Soviet Union,URS,Summer,Seoul,WRESTLING,"Wrestling Men's Welterweight, Greco-Roman",Prata
William Turpin,Masculino,1964,Zimbabwe,ZIM,Summer,Tokyo,HOCKEY,Hockey Men's Hockey,Nenhuma Medalha
Erik Uddebom,Masculino,1956,Sweden,SWE,Summer,Melbourne,ATHLETICS,Athletics Men's Discus Throw,Nenhuma Medalha
Alfredo Ugarte,Masculino,1924,Chile,CHI,Summer,Paris,ATHLETICS,Athletics Men's 110 metres Hurdles,Nenhuma Medalha
Martti Uosikkinen,Masculino,1936,Finland,FIN,Summer,Berlin,GYMNASTICS,Gymnastics Men's Floor Exercise,Nenhuma Medalha
Marian Urdabayeva,Feminino,2016,Kazakhstan,KAZ,Summer,Rio de Janeiro,JUDO,Judo Women's Half-Middleweight,Nenhuma Medalha
Yoandri Cobas,Masculino,2004,Cuba,CUB,Summer,Athina,BASEBALL,Baseball Men's Baseball,Ouro
Julia Madruga,Feminino,1960,Cuba,CUB,Summer,Roma,GYMNASTICS,Gymnastics Women's Individual All-Around,Nenhuma Medalha
Jorge Merino,Masculino,1968,Mexico,MEX,Summer,Mexico City,SWIMMING,Swimming Men's 4 x 200 metres Freestyle Relay,Nenhuma Medalha
Ivan Usov,Masculino,2004,Russia,RUS,Summer,Athina,SWIMMING,Swimming Men's 4 x 100 metres Freestyle Relay,Nenhuma Medalha
Pentti Uusihauta,Masculino,1952,Finland,FIN,Summer,Helsinki,ATHLETICS,Athletics Men's Triple Jump,Nenhuma Medalha
Pl Vg,Masculino,1932,Hungary,HUN,Summer,Los Angeles,ART COMPETITIONS,"Art Competitions Mixed Architecture, Unknown Event",Nenhuma Medalha
Franziska Almsick,Feminino,1992,Germany,GER,Summer,Barcelona,SWIMMING,Swimming Women's 50 metres Freestyle,Nenhuma Medalha
James Boven,Masculino,1968,United States,USA,Summer,Mexico City,CYCLING,Cycling Men's 100 kilometres Team Time Trial,Nenhuma Medalha
Gustaaf Cauter,Masculino,1972,Belgium,BEL,Summer,Munich,CYCLING,Cycling Men's 100 kilometres Team Time Trial,Nenhuma Medalha
Peter Abeele,Masculino,1996,Belgium,BEL,Summer,Atlanta,CYCLING,"Cycling Men's Mountainbike, Cross-Country",Nenhuma Medalha
Chantal Landeghem,Feminino,2016,Canada,CAN,Summer,Rio de Janeiro,SWIMMING,Swimming Women's 100 metres Freestyle,Nenhuma Medalha
Petronella Kleef),Feminino,1984,Netherlands,NED,Summer,Los Angeles,SWIMMING,Swimming Women's 100 metres Breaststroke,Ouro
Aurle Vandendriessche,Masculino,1956,Belgium,BEL,Summer,Melbourne,ATHLETICS,Athletics Men's Marathon,Nenhuma Medalha
